[2024-12-22 14:13:33] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2024-12-22 14:13:33] [class-ss-archive-creation-job.php:98] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2024-12-22 14:13:33] [class-ss-archive-creation-job.php:116] Pushing first task to queue: setup
[2024-12-22 14:13:34] [class-ss-archive-creation-job.php:172] Current task: setup
[2024-12-22 14:13:34] [class-ss-archive-creation-job.php:182] Performing task: setup
[2024-12-22 14:13:34] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-12-22 14:13:34] [class-ss-setup-task.php:33] Creating archive directory: C:\xampp\htdocs\corpwebsite.wp/wp-content/uploads\simply-static\temp-files/simply-static-1-1734876813\
[2024-12-22 14:13:34] [class-ss-setup-task.php:72] Adding origin URL to queue: http://localhost:8080/corpwebsite.wp/
[2024-12-22 14:13:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8080/corpwebsite.wp/wp-content/plugins/elementor/assets/lib/animate.css/animate-config.json
[2024-12-22 14:13:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8080/corpwebsite.wp/wp-content/plugins/elementor/assets/lib/animate.css/animate.css
[2024-12-22 14:13:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8080/corpwebsite.wp/wp-content/plugins/elementor/assets/lib/animate.css/animate.min.css
[2024-12-22 14:13:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8080/corpwebsite.wp/wp-content/plugins/elementor/assets/lib/animations/animations.min.css
[2024-12-22 14:13:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8080/corpwebsite.wp/wp-content/plugins/elementor/assets/lib/animations/styles/bounce.css
[2024-12-22 14:13:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8080/corpwebsite.wp/wp-content/plugins/elementor/assets/lib/animations/styles/bounce.min.css
[2024-12-22 14:13:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8080/corpwebsite.wp/wp-content/plugins/elementor/assets/lib/animations/styles/bounceIn.css
[2024-12-22 14:13:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8080/corpwebsite.wp/wp-content/plugins/elementor/assets/lib/animations/styles/bounceIn.min.css
[2024-12-22 14:13:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8080/corpwebsite.wp/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInDown.css
[2024-12-22 14:13:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8080/corpwebsite.wp/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInDown.min.css
